abs 2.4.4-2
lxmusic 0.4.7-1
lxpanel 0.8.2-1
lxrandr 0.3.1-1
lxsession 1:0.5.2-2
lxtask 0.1.7-1
lxterminal 0.2.0-3
lz4 131-2
lzo 2.09-1
m4 1.4.17-2
make 4.2.1-1
man-db 2.7.5-4
man-pages 4.08-1
mdadm 3.4-1
menu-cache 1.0.1-2
mesa 13.0.0rc2-2
mesa-libgl 13.0.0rc2-2
mime-types 9-1
mkinitcpio 21-1
mkinitcpio-busybox 1.24.2-1
mono 4.6.1.3-1
mozilla-common 1.4-4
mpd 0.19.19-1
mpfr 3.1.5-1
mtdev 1.1.5-1
mupdf 1.9_a-5
mutagen 1.34.1-1
nano 2.7.0-1
ncurses 6.0-4
neon 0.30.2-1
netcdf 4.4.1-2
netctl 1.12-2
nettle 3.3-1
noto-fonts 20161003-1
npth 1.2-1
nspr 4.13.1-1
nss 3.27.1-1
ntp 4.2.8.p8-1
nxproxy 3.5.0.32-2
ocl-icd 2.2.9-1
onedrive-d-git 20150921.ga28186b-1
openbox 3.6.1-3
opencore-amr 0.1.3-2
openexr 2.2.0-3
openjpeg 1.5.2-1
openjpeg2 2.1.2-1
openresolv 3.8.1-1
openssh 7.3p1-2
openssl 1.0.2.j-1
opus 1.1.3-2
orc 0.4.26-1
p11-kit 0.23.2-1
pacman 5.0.1-4
pacman-mirrorlist 20161013-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.3-1
pangomm 2.40.1-1
patch 2.7.5-1
pciutils 3.5.1-1
pcmanfm 1.2.4-2
pcmciautils 018-7
pcre 8.39-1
pcre2 10.22-1
perl 5.24.0-2
perl-encode-locale 1.05-1
perl-error 0.17024-1
perl-file-listing 6.04-2
perl-file-tail 1.3-1
perl-file-which 1.21-1
perl-html-parser 3.72-2
perl-html-tagset 3.20-4
perl-http-cookies 6.01-2
perl-http-daemon 6.01-2
perl-http-date 6.02-2
perl-http-message 6.11-2
perl-http-negotiate 6.01-2
perl-io-html 1.001-1
perl-libwww 6.15-1
perl-locale-gettext 1.07-2
perl-lwp-mediatypes 6.02-2
perl-net-http 6.09-1
perl-rpc-xml 0.80-1
perl-term-readkey 2.37-1
perl-uri 1.71-1
perl-www-robotrules 6.02-2
perl-xml-parser 2.44-3
picard 1.3.2-5
pinentry 0.9.7-3
pixman 0.34.0-1
pkg-config 0.29.1-2
polkit 0.113-4
poppler 0.47.0-1
poppler-glib 0.47.0-1
poppler-qt5 0.47.0-1
popt 1.16-8
potrace 1.13-1
procps-ng 3.3.12-1
psmisc 22.21-3
pygobject-devel 3.22.0-1
pygobject2-devel 2.28.6-12
pygtk 2.24.0-6
pyqt4-common 4.11.4-4
pyqt5-common 5.7-2
python 3.5.2-1
python-appdirs 1.4.0-4
python-certifi 2016.9.26-1
python-chardet 2.3.0-2
python-click 6.6-1
python-cycler 0.10.0-1
python-dateutil 2.5.3-1
python-dbus-common 1.2.4-1
python-gobject 3.22.0-1
python-matplotlib 1.5.3-1
python-numpy 1.11.2-1
python-packaging 16.8-1
python-pip 8.1.2-1
python-pyparsing 2.1.10-1
python-pyqt5 5.7-2
python-pytz 2016.7-1
python-requests 2.11.1-1
python-scipy 0.18.1-1
python-send2trash 1.3.0-1
python-setuptools 1:28.7.1-1
python-sip 4.18.1-1
python-six 1.10.0-2
python-urllib3 1.18.1-1
python2 2.7.12-1
python2-cairo 1.10.0-2
python2-dbus 1.2.4-1
python2-gobject2 2.28.6-12
